Size,TimeMicros,ArrayType,Threshold
500,335,0,0
600,338,0,0
700,391,0,0
800,454,0,0
900,522,0,0
1000,584,0,0
1100,658,0,0
1200,705,0,0
1300,759,0,0
1400,812,0,0
1500,891,0,0
1600,961,0,0
1700,1021,0,0
1800,1042,0,0
1900,1172,0,0
2000,1213,0,0
2100,1246,0,0
2200,1363,0,0
2300,1449,0,0
2400,1933,0,0
2500,1561,0,0
2600,1595,0,0
2700,1613,0,0
2800,1723,0,0
2900,1840,0,0
3000,1840,0,0
3100,1868,0,0
3200,1930,0,0
3300,2004,0,0
3400,2072,0,0
3500,2113,0,0
3600,2219,0,0
3700,2279,0,0
3800,2344,0,0
3900,2378,0,0
4000,2516,0,0
4100,2558,0,0
4200,2610,0,0
4300,2657,0,0
4400,2757,0,0
4500,2907,0,0
4600,2943,0,0
4700,2994,0,0
4800,3050,0,0
4900,3099,0,0
5000,3160,0,0
5100,3410,0,0
5200,3331,0,0
5300,3387,0,0
5400,3495,0,0
5500,3565,0,0
5600,3533,0,0
5700,3617,0,0
5800,3722,0,0
5900,3784,0,0
6000,3890,0,0
6100,3960,0,0
6200,3958,0,0
6300,4145,0,0
6400,4147,0,0
6500,4178,0,0
6600,4363,0,0
6700,4373,0,0
6800,4406,0,0
6900,4513,0,0
7000,4586,0,0
7100,4688,0,0
7200,4755,0,0
7300,4858,0,0
7400,4923,0,0
7500,5019,0,0
7600,5090,0,0
7700,5234,0,0
7800,5216,0,0
7900,5299,0,0
8000,5397,0,0
8100,5481,0,0
8200,5524,0,0
8300,5656,0,0
8400,5598,0,0
8500,5695,0,0
8600,5800,0,0
8700,5861,0,0
8800,5810,0,0
8900,5837,0,0
9000,5912,0,0
9100,6044,0,0
9200,6082,0,0
9300,6204,0,0
9400,6289,0,0
9500,6271,0,0
9600,6386,0,0
9700,6469,0,0
9800,6500,0,0
9900,6573,0,0
10000,6616,0,0
10100,6588,0,0
10200,6760,0,0
10300,6738,0,0
10400,6847,0,0
10500,6898,0,0
10600,6971,0,0
10700,7127,0,0
10800,7230,0,0
10900,7244,0,0
11000,7385,0,0
11100,7430,0,0
11200,7425,0,0
11300,7506,0,0
11400,7563,0,0
11500,7613,0,0
11600,7758,0,0
11700,7932,0,0
11800,8005,0,0
11900,8027,0,0
12000,8133,0,0
12100,8225,0,0
12200,8485,0,0
12300,8624,0,0
12400,8411,0,0
12500,8542,0,0
12600,8384,0,0
12700,8461,0,0
12800,8642,0,0
12900,8646,0,0
13000,8666,0,0
13100,8612,0,0
13200,8610,0,0
13300,9015,0,0
13400,8969,0,0
13500,9027,0,0
13600,8916,0,0
13700,9060,0,0
13800,9099,0,0
13900,9408,0,0
