Size,TimeMicros,ArrayType,Threshold
500,131,0,5
600,150,0,5
700,192,0,5
800,255,0,5
900,306,0,5
1000,323,0,5
1100,316,0,5
1200,325,0,5
1300,383,0,5
1400,422,0,5
1500,498,0,5
1600,547,0,5
1700,556,0,5
1800,571,0,5
1900,616,0,5
2000,632,0,5
2100,638,0,5
2200,679,0,5
2300,678,0,5
2400,714,0,5
2500,724,0,5
2600,789,0,5
2700,837,0,5
2800,923,0,5
2900,992,0,5
3000,1039,0,5
3100,1116,0,5
3200,1128,0,5
3300,1094,0,5
3400,1513,0,5
3500,1150,0,5
3600,1952,0,5
3700,1550,0,5
3800,1308,0,5
3900,1296,0,5
4000,1368,0,5
4100,1383,0,5
4200,1378,0,5
4300,1405,0,5
4400,1359,0,5
4500,1490,0,5
4600,1427,0,5
4700,1501,0,5
4800,1509,0,5
4900,1561,0,5
5000,1566,0,5
5100,1921,0,5
5200,1690,0,5
5300,1729,0,5
5400,1805,0,5
5500,2012,0,5
5600,2018,0,5
5700,2089,0,5
5800,2600,0,5
5900,2304,0,5
6000,2282,0,5
6100,2637,0,5
6200,2466,0,5
6300,2505,0,5
6400,2556,0,5
6500,2464,0,5
6600,2577,0,5
6700,2617,0,5
6800,2665,0,5
6900,3073,0,5
7000,3069,0,5
7100,3478,0,5
7200,3440,0,5
7300,2781,0,5
7400,2815,0,5
7500,2889,0,5
7600,3097,0,5
7700,2891,0,5
7800,2819,0,5
7900,2819,0,5
8000,2985,0,5
8100,2880,0,5
8200,3359,0,5
8300,2955,0,5
8400,2986,0,5
8500,3891,0,5
8600,3112,0,5
8700,3040,0,5
8800,3874,0,5
8900,3818,0,5
9000,3857,0,5
9100,3776,0,5
9200,3517,0,5
9300,3326,0,5
9400,3314,0,5
9500,3505,0,5
9600,3307,0,5
9700,3339,0,5
9800,3406,0,5
9900,3439,0,5
10000,3401,0,5
10100,3874,0,5
10200,3459,0,5
10300,3593,0,5
10400,3627,0,5
10500,3685,0,5
10600,3743,0,5
10700,3849,0,5
10800,3865,0,5
10900,4009,0,5
11000,4044,0,5
11100,4098,0,5
11200,4358,0,5
11300,4405,0,5
11400,4512,0,5
11500,4498,0,5
11600,4896,0,5
11700,4770,0,5
11800,4694,0,5
11900,4682,0,5
12000,4627,0,5
12100,4752,0,5
12200,4740,0,5
12300,4889,0,5
12400,5143,0,5
12500,5384,0,5
12600,5104,0,5
12700,5204,0,5
12800,5205,0,5
12900,5350,0,5
13000,5270,0,5
13100,5825,0,5
13200,5535,0,5
13300,5710,0,5
13400,5569,0,5
13500,5566,0,5
13600,6086,0,5
13700,5637,0,5
13800,5745,0,5
13900,5668,0,5
14000,5762,0,5
14100,5808,0,5
14200,5719,0,5
14300,5718,0,5
14400,6022,0,5
14500,5701,0,5
14600,5695,0,5
14700,5980,0,5
14800,5657,0,5
14900,5876,0,5
15000,6013,0,5
15100,6601,0,5
15200,6205,0,5
15300,6085,0,5
15400,6423,0,5
15500,6125,0,5
15600,5962,0,5
15700,5999,0,5
15800,6344,0,5
15900,6055,0,5
16000,6062,0,5
16100,6111,0,5
16200,6268,0,5
16300,6285,0,5
16400,6604,0,5
16500,6284,0,5
16600,6517,0,5
16700,6404,0,5
16800,6709,0,5
16900,7392,0,5
17000,6528,0,5
17100,6352,0,5
17200,6515,0,5
17300,6464,0,5
17400,6877,0,5
17500,7054,0,5
17600,6806,0,5
17700,7017,0,5
17800,6936,0,5
17900,6955,0,5
18000,6669,0,5
18100,6983,0,5
18200,6793,0,5
18300,6588,0,5
18400,6769,0,5
18500,6831,0,5
18600,6905,0,5
18700,7298,0,5
18800,7349,0,5
18900,7466,0,5
19000,7221,0,5
19100,7215,0,5
19200,7826,0,5
19300,7288,0,5
19400,7497,0,5
19500,7334,0,5
19600,7449,0,5
19700,7332,0,5
19800,7249,0,5
19900,7226,0,5
20000,7292,0,5
20100,7674,0,5
20200,7728,0,5
20300,7683,0,5
20400,7620,0,5
20500,7496,0,5
20600,7890,0,5
20700,7414,0,5
20800,7721,0,5
20900,7909,0,5
